step,position,health_level,resource_level,air_pollution,ground_pollution
0,"(0, 2)",100.0,80.0,0.0,0.0
0,"(1, 9)",100.0,80.3,11.048920863309352,4.241996402877699
0,"(2, 3)",100.0,90.3,0.0,1.9095079424253147
0,"(2, 4)",100.0,90.0,0.0,1.9095079424253147
0,"(2, 7)",100.0,80.3,16.584246575342465,6.367166095890411
0,"(3, 2)",100.0,70.3,0.0,1.9095079424253147
0,"(3, 3)",100.0,100.0,8.283763837638377,1.9095079424253147
0,"(3, 4)",100.0,100.0,16.584246575342465,1.9095079424253147
0,"(4, 0)",100.0,60.3,0.0,0.0
0,"(4, 1)",100.0,100.0,0.0,0.0
0,"(4, 6)",100.0,80.3,8.283763837638377,0.7950934040590406
0,"(5, 1)",100.0,70.0,0.0,0.0
0,"(5, 3)",100.0,70.0,0.0,0.0
0,"(5, 5)",100.0,90.3,0.0,0.7950934040590406
0,"(5, 6)",100.0,90.0,0.0,0.7950934040590406
0,"(5, 8)",100.0,90.3,19.35418060200669,7.430622909698997
0,"(6, 5)",100.0,70.3,0.0,0.7950934040590406
0,"(6, 7)",100.0,80.3,8.283763837638377,3.1803736162361624
0,"(7, 1)",100.0,90.0,0.0,0.0
0,"(7, 3)",100.0,90.0,8.283763837638377,3.1803736162361624
0,"(7, 6)",100.0,80.0,0.0,0.0
0,"(8, 2)",100.0,80.3,11.048920863309352,4.241996402877699
0,"(8, 5)",100.0,80.3,0.0,0.0
0,"(8, 8)",100.0,50.3,11.048920863309352,4.241996402877699
1,"(0, 2)",100.0,60.3,0.0,0.0
1,"(1, 9)",100.0,60.599999999999994,23.315196948993652,13.036906870478365
1,"(2, 3)",100.0,80.42,0.6529535632913812,6.0590828318131456
1,"(2, 4)",100.0,80.42,1.9572279221508457,6.0590828318131456
1,"(2, 7)",100.0,60.599999999999994,34.793940524291706,19.499173127779468
1,"(3, 2)",100.0,60.42,1.3028904537559167,6.0590828318131456
1,"(3, 3)",100.0,90.42,18.565840371629776,6.0590828318131456
1,"(3, 4)",100.0,90.42,33.24486829732494,6.0590828318131456
1,"(4, 0)",100.0,37.06666666666666,0.0,0.08013374749102807
1,"(4, 1)",100.0,77.06666666666666,0.6497722873480647,0.08013374749102807
1,"(4, 6)",100.0,63.02499999999999,16.591306154747226,2.3743689922543654
1,"(5, 1)",100.0,47.06666666666666,0.0,0.08013374749102807
1,"(5, 3)",100.0,40.3,0.0,0.0
1,"(5, 5)",100.0,73.02499999999999,0.0,2.3743689922543654
1,"(5, 6)",100.0,73.02499999999999,0.0,2.3743689922543654
1,"(5, 8)",100.0,80.6,38.80620960589992,22.091736463925628
1,"(6, 5)",100.0,53.02499999999999,0.0,2.3743689922543654
1,"(6, 7)",100.0,60.599999999999994,16.591306154747226,9.443091452681704
1,"(7, 1)",100.0,80.3,0.0,0.0
1,"(7, 3)",100.0,80.3,17.461589987365645,9.765398456387176
1,"(7, 6)",100.0,60.3,0.0,0.0
1,"(8, 2)",100.0,60.599999999999994,24.18650379998422,13.359653965250839
1,"(8, 5)",100.0,60.599999999999994,0.0,0.0
1,"(8, 8)",100.0,0.5999999999999979,22.136766733191102,12.600081718136865
2,"(0, 2)",100.0,40.599999999999994,0.20947053262395926,0.07658620234015644
2,"(1, 9)",100.0,40.89999999999999,33.8252881907775,25.715375067080906
2,"(2, 3)",100.0,70.72,1.9276581450023398,12.248014118566795
