step,position,health_level,resource_level,air_pollution,ground_pollution
5,"(5, 1)",100.0,100,0.0,0.0
5,"(5, 6)",100.0,100,0.0,0.0
5,"(6, 5)",100.0,100,0.0,0.0
5,"(7, 0)",100.0,100,0.0,0.0
5,"(7, 2)",100.0,100,0.0,0.0
5,"(7, 4)",100.0,100,0.0,0.0
5,"(7, 6)",100.0,100,0.0,0.0
5,"(7, 8)",100.0,100,0.0,0.0
5,"(8, 8)",100.0,100,0.0,0.0
5,"(8, 9)",100.0,100,0.0,0.0
5,"(9, 1)",100.0,100,0.0,0.0
5,"(9, 2)",100.0,100,0.0,0.0
6,"(0, 7)",100.0,100,0.0,0.0
6,"(1, 4)",100.0,100,0.0,0.0
6,"(1, 8)",100.0,100,0.0,0.0
6,"(2, 5)",100.0,100,0.0,0.0
6,"(3, 2)",100.0,100,0.0,0.0
6,"(3, 6)",100.0,100,0.0,0.0
6,"(3, 9)",100.0,100,0.0,0.0
6,"(4, 0)",100.0,100,0.0,0.0
6,"(4, 3)",100.0,100,0.0,0.0
6,"(4, 4)",100.0,100,0.0,0.0
6,"(4, 9)",100.0,100,0.0,0.0
6,"(5, 0)",100.0,100,0.0,0.0
6,"(5, 1)",100.0,100,0.0,0.0
6,"(5, 6)",100.0,100,0.0,0.0
6,"(6, 5)",100.0,100,0.0,0.0
6,"(7, 0)",100.0,100,0.0,0.0
6,"(7, 2)",100.0,100,0.0,0.0
6,"(7, 4)",100.0,100,0.0,0.0
6,"(7, 6)",100.0,100,0.0,0.0
6,"(7, 8)",100.0,100,0.0,0.0
6,"(8, 8)",100.0,100,0.0,0.0
6,"(8, 9)",100.0,100,0.0,0.0
6,"(9, 1)",100.0,100,0.0,0.0
6,"(9, 2)",100.0,100,0.0,0.0
7,"(0, 7)",100.0,100,0.0,0.0
7,"(1, 4)",100.0,100,0.0,0.0
7,"(1, 8)",100.0,100,0.0,0.0
7,"(2, 5)",100.0,100,0.0,0.0
7,"(3, 2)",100.0,100,0.0,0.0
7,"(3, 6)",100.0,100,0.0,0.0
7,"(3, 9)",100.0,100,0.0,0.0
7,"(4, 0)",100.0,100,0.0,0.0
7,"(4, 3)",100.0,100,0.0,0.0
7,"(4, 4)",100.0,100,0.0,0.0
7,"(4, 9)",100.0,100,0.0,0.0
7,"(5, 0)",100.0,100,0.0,0.0
7,"(5, 1)",100.0,100,0.0,0.0
7,"(5, 6)",100.0,100,0.0,0.0
7,"(6, 5)",100.0,100,0.0,0.0
7,"(7, 0)",100.0,100,0.0,0.0
7,"(7, 2)",100.0,100,0.0,0.0
7,"(7, 4)",100.0,100,0.0,0.0
7,"(7, 6)",100.0,100,0.0,0.0
7,"(7, 8)",100.0,100,0.0,0.0
7,"(8, 8)",100.0,100,0.0,0.0
7,"(8, 9)",100.0,100,0.0,0.0
7,"(9, 1)",100.0,100,0.0,0.0
7,"(9, 2)",100.0,100,0.0,0.0
8,"(0, 7)",100.0,100,0.0,0.0
8,"(1, 4)",100.0,100,0.0,0.0
8,"(1, 8)",100.0,100,0.0,0.0
8,"(2, 5)",100.0,100,0.0,0.0
8,"(3, 2)",100.0,100,0.0,0.0
8,"(3, 6)",100.0,100,0.0,0.0
8,"(3, 9)",100.0,100,0.0,0.0
8,"(4, 0)",100.0,100,0.0,0.0
8,"(4, 3)",100.0,100,0.0,0.0
8,"(4, 4)",100.0,100,0.0,0.0
8,"(4, 9)",100.0,100,0.0,0.0
8,"(5, 0)",100.0,100,0.0,0.0
8,"(5, 1)",100.0,100,0.0,0.0
8,"(5, 6)",100.0,100,0.0,0.0
8,"(6, 5)",100.0,100,0.0,0.0
8,"(7, 0)",100.0,100,0.0,0.0
8,"(7, 2)",100.0,100,0.0,0.0
8,"(7, 4)",100.0,100,0.0,0.0
8,"(7, 6)",100.0,100,0.0,0.0
8,"(7, 8)",100.0,100,0.0,0.0
8,"(8, 8)",100.0,100,0.0,0.0
8,"(8, 9)",100.0,100,0.0,0.0
8,"(9, 1)",100.0,100,0.0,0.0
8,"(9, 2)",100.0,100,0.0,0.0
9,"(0, 7)",100.0,100,0.0,0.0
9,"(1, 4)",100.0,100,0.0,0.0
9,"(1, 8)",100.0,100,0.0,0.0
9,"(2, 5)",100.0,100,0.0,0.0
9,"(3, 2)",100.0,100,0.0,0.0
9,"(3, 6)",100.0,100,0.0,0.0
9,"(3, 9)",100.0,100,0.0,0.0
9,"(4, 0)",100.0,100,0.0,0.0
9,"(4, 3)",100.0,100,0.0,0.0
9,"(4, 4)",100.0,100,0.0,0.0
9,"(4, 9)",100.0,100,0.0,0.0
9,"(5, 0)",100.0,100,0.0,0.0
9,"(5, 1)",100.0,100,0.0,0.0
9,"(5, 6)",100.0,100,0.0,0.0
9,"(6, 5)",100.0,100,0.0,0.0
9,"(7, 0)",100.0,100,0.0,0.0
9,"(7, 2)",100.0,100,0.0,0.0
9,"(7, 4)",100.0,100,0.0,0.0
9,"(7, 6)",100.0,100,0.0,0.0
9,"(7, 8)",100.0,100,0.0,0.0
9,"(8, 8)",100.0,100,0.0,0.0
9,"(8, 9)",100.0,100,0.0,0.0
9,"(9, 1)",100.0,100,0.0,0.0
9,"(9, 2)",100.0,100,0.0,0.0
10,"(0, 7)",100.0,100,0.0,0.0
10,"(1, 4)",100.0,100,0.0,0.0
10,"(1, 8)",100.0,100,0.0,0.0
10,"(2, 5)",100.0,100,0.0,0.0
10,"(3, 2)",100.0,100,0.0,0.0
10,"(3, 6)",100.0,100,0.0,0.0
10,"(3, 9)",100.0,100,0.0,0.0
10,"(4, 0)",100.0,100,0.0,0.0
10,"(4, 3)",100.0,100,0.0,0.0
10,"(4, 4)",100.0,100,0.0,0.0
10,"(4, 9)",100.0,100,0.0,0.0
10,"(5, 0)",100.0,100,0.0,0.0
10,"(5, 1)",100.0,100,0.0,0.0
10,"(5, 6)",100.0,100,0.0,0.0
10,"(6, 5)",100.0,100,0.0,0.0
10,"(7, 0)",100.0,100,0.0,0.0
10,"(7, 2)",100.0,100,0.0,0.0
10,"(7, 4)",100.0,100,0.0,0.0
10,"(7, 6)",100.0,100,0.0,0.0
10,"(7, 8)",100.0,100,0.0,0.0
10,"(8, 8)",100.0,100,0.0,0.0
10,"(8, 9)",100.0,100,0.0,0.0
10,"(9, 1)",100.0,100,0.0,0.0
10,"(9, 2)",100.0,100,0.0,0.0
11,"(0, 7)",100.0,100,0.0,0.0
11,"(1, 4)",100.0,100,0.0,0.0
11,"(1, 8)",100.0,100,0.0,0.0
11,"(2, 5)",100.0,100,0.0,0.0
11,"(3, 2)",100.0,100,0.0,0.0
11,"(3, 6)",100.0,100,0.0,0.0
11,"(3, 9)",100.0,100,0.0,0.0
11,"(4, 0)",100.0,100,0.0,0.0
11,"(4, 3)",100.0,100,0.0,0.0
11,"(4, 4)",100.0,100,0.0,0.0
11,"(4, 9)",100.0,100,0.0,0.0
11,"(5, 0)",100.0,100,0.0,0.0
11,"(5, 1)",100.0,100,0.0,0.0
11,"(5, 6)",100.0,100,0.0,0.0
11,"(6, 5)",100.0,100,0.0,0.0
11,"(7, 0)",100.0,100,0.0,0.0
11,"(7, 2)",100.0,100,0.0,0.0
11,"(7, 4)",100.0,100,0.0,0.0
11,"(7, 6)",100.0,100,0.0,0.0
11,"(7, 8)",100.0,100,0.0,0.0
11,"(8, 8)",100.0,100,0.0,0.0
11,"(8, 9)",100.0,100,0.0,0.0
11,"(9, 1)",100.0,100,0.0,0.0
11,"(9, 2)",100.0,100,0.0,0.0
12,"(0, 7)",100.0,100,0.0,0.0
12,"(1, 4)",100.0,100,0.0,0.0
12,"(1, 8)",100.0,100,0.0,0.0
12,"(2, 5)",100.0,100,0.0,0.0
